Rent,Beds,Baths,Area_in_sqft,log_area,property_rank_in_location,area_deviation_from_location,location_type_premium,furnishing_type_premium,bath_bed_ratio,area_per_bedroom,type_room_premium,Location,Type,Furnishing
78000,2,3,1249,7.1308988302963465,0.7645161290322581,-0.3370941476360222,0.5685722497805438,0.9962982747044148,1.0,416.3333333333333,0.7630233435089949,Al Falah Street,Apartment,Unfurnished
250000,4,5,4275,8.360773272144936,0.9819277108433736,1.90703452968531,0.6873858599322542,0.9962982747044148,1.0,855.0,0.7630233435089949,Al Rawdah,Apartment,Unfurnished
33000,1,1,1700,7.438971592395862,0.2301173402868318,-0.5718742071841642,0.3399731209065741,0.9962982747044148,0.5,850.0,0.7630233435089949,Madinat Al Riyadh,Apartment,Unfurnished
135000,2,3,1700,7.438971592395862,0.4451476793248945,-0.3114406648727587,1.2711613404964932,0.9962982747044148,1.0,566.6666666666666,0.7630233435089949,Corniche Road,Apartment,Unfurnished
42000,0,1,540,6.293419278846481,0.0384615384615384,-1.1750430775899827,0.4597741542531051,0.9962982747044148,1.0,540.0,0.7630233435089949,Al Karamah,Apartment,Unfurnished
150000,5,8,14000,9.546884034617923,0.7616161616161616,2.064504822528902,1.580416953822201,0.9962982747044148,1.3333333333333333,2333.3333333333335,1.73912046358283,Shakhbout City,Villa,Unfurnished
90000,2,3,1600,7.378383712996715,0.5406215921483097,0.3940014049160539,0.8446181966312187,0.9962982747044148,1.0,533.3333333333334,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
75000,3,3,3250,8.086717920303906,0.8333333333333334,1.105601012129342,0.5494156560257232,0.9962982747044148,0.75,812.5,0.7630233435089949,Liwa Street,Apartment,Unfurnished
100000,2,3,1450,7.280008252884188,0.5405862457722661,-0.5214730561005358,0.8803427291204609,0.9962982747044148,1.0,483.3333333333333,0.7630233435089949,Al Khalidiyah,Apartment,Unfurnished
750000,4,6,5207,8.557951183888406,0.9742813918305596,1.722828411010152,1.2926233664882631,0.9962982747044148,1.2,1041.4,0.7630233435089949,Saadiyat Island,Apartment,Unfurnished
55000,1,1,809,6.697034247666484,0.1686746987951807,-0.5692319201621752,0.6873858599322542,0.9962982747044148,0.5,404.5,0.7630233435089949,Al Rawdah,Apartment,Unfurnished
44999,1,1,850,6.7464121285733745,0.28397212543554,-0.7636307073360886,0.4616664660707366,1.0480048785486198,0.5,425.0,0.7630233435089949,Al Mushrif,Apartment,Furnished
45000,2,1,1250,7.1316985104669115,0.1297117516629711,-0.4958970380142131,0.7910142733254536,0.9962982747044148,0.3333333333333333,416.6666666666667,0.7630233435089949,Tourist Club Area (Tca),Apartment,Unfurnished
57999,2,2,1250,7.1316985104669115,0.1420518602029312,-0.6743044812747627,0.8803427291204609,0.9962982747044148,0.6666666666666666,416.6666666666667,0.7630233435089949,Al Khalidiyah,Apartment,Unfurnished
70000,2,2,1400,7.244941546337007,0.6258064516129033,-0.2156769650348972,0.5685722497805438,0.9962982747044148,0.6666666666666666,466.6666666666667,0.7630233435089949,Al Falah Street,Apartment,Unfurnished
145000,3,5,2102,7.6511201757027,0.777947932618683,0.4377100505635338,1.013489831002807,0.9962982747044148,1.25,525.5,0.7630233435089949,Corniche Area,Apartment,Unfurnished
100000,2,3,1262,7.141245122350491,0.5076045627376425,-1.0779396089743178,1.0136978149900917,1.0480048785486198,1.0,420.6666666666667,1.73912046358283,Al Reef,Villa,Furnished
180000,3,5,2400,7.783640596221253,0.8440265486725663,0.7244000007293669,2.0921299212987163,0.9962982747044148,1.25,600.0,1.638368156401277,Al Raha Beach,Townhouse,Unfurnished
28000,0,1,660,6.493753839851686,0.1361323155216285,-0.5535695465010642,0.3943848198900072,0.9962982747044148,1.0,660.0,0.7630233435089949,Khalifa City,Apartment,Unfurnished
55000,1,2,1081,6.9865664594064265,0.2360594795539033,-0.3606525506865929,0.654492033806893,0.9962982747044148,1.0,540.5,0.7630233435089949,Rawdhat Abu Dhabi,Apartment,Unfurnished
40000,1,1,1000,6.90875477931522,0.3818611414031261,-0.4549196276797086,0.3943848198900072,0.9962982747044148,0.5,500.0,0.7630233435089949,Khalifa City,Apartment,Unfurnished
130000,3,5,1800,7.496097345175956,0.6136615044247787,0.1026126770367159,1.0128873490635075,0.9962982747044148,1.25,450.0,0.7630233435089949,Al Raha Beach,Apartment,Unfurnished
210000,3,4,1752,7.469083884921234,0.8034804753820034,-0.1006348409806251,1.6359048424926326,0.9962982747044148,1.0,438.0,1.638368156401277,Yas Island,Townhouse,Unfurnished
48000,2,2,2400,7.783640596221253,0.3773584905660377,0.1923968669356102,0.4426125841910925,0.9962982747044148,0.6666666666666666,800.0,0.7630233435089949,Al Falah City,Apartment,Unfurnished
290000,5,7,5587,8.628376720376853,0.9729189385677935,0.8759838359484023,1.7487047064323402,0.9962982747044148,1.1666666666666667,931.1666666666666,1.73912046358283,Khalifa City,Villa,Unfurnished
150000,2,3,1335,7.197435354096591,0.4588285229202037,-0.3757230437782733,1.6359048424926326,0.9962982747044148,1.0,445.0,1.638368156401277,Yas Island,Townhouse,Unfurnished
40000,1,1,500,6.2166061010848646,0.045816733067729,-0.7538251628710633,0.5737426331567855,0.9962982747044148,0.5,250.0,0.7630233435089949,Al Nahyan,Apartment,Unfurnished
85000,1,2,730,6.594413459749778,0.4817339149400218,-0.9535118774084016,0.8446181966312187,0.9962982747044148,1.0,365.0,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
120000,3,4,1730,7.456454555176209,0.9389671361502347,0.4780056132945363,0.6315300405515805,0.9962982747044148,1.0,432.5,0.7630233435089949,Electra Street,Apartment,Unfurnished
235000,3,4,2145,7.671360923190644,0.7768532526475038,0.0513561127576376,1.2926233664882631,0.9962982747044148,1.0,536.25,0.7630233435089949,Saadiyat Island,Apartment,Unfurnished
